Customer_id,churn_flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,credit_limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,total_spend,transaction_count,Total_Ct_Chng_Q4_Q1,utilization_ratio,high_utilization,spend_drop_flag,inactive_flag,high_inactive_flag,spend_decline_flag,util_band,risk_score
708082083,0,45,F,3,"High School",Married,"Less than $40K",Blue,36,4,3,3,3544.00,1661.00,1883.00,0.8310,15149.00,111,0.7340,0.4690,0,0,0,1,0,Low,1.0000
708083283,1,58,M,0,Unknown,Single,"$40K - $60K",Blue,45,3,1,3,3421.00,2517.00,904.00,0.9920,992.00,21,0.4000,0.7360,0,0,0,0,0,Medium,0.0000
708084558,1,46,M,3,Doctorate,Divorced,"$80K - $120K",Blue,38,6,3,3,8258.00,1771.00,6487.00,0.0000,1447.00,23,0.0000,0.2140,0,1,0,1,1,Low,2.0000
708085458,0,34,F,2,Uneducated,Single,"Less than $40K",Blue,24,6,2,2,1438.30,0.00,1438.30,0.8270,3940.00,82,0.9520,0.0000,0,0,0,0,0,NULL,0.0000
708086958,0,49,F,2,Uneducated,Married,Unknown,Blue,41,3,5,2,3128.00,749.00,2379.00,0.5980,4369.00,59,0.7350,0.2390,0,1,1,1,1,Low,2.0000
708095133,0,43,M,4,Unknown,Unknown,"$120K +",Blue,34,5,2,2,33304.00,1833.00,31471.00,0.4280,1448.00,29,0.3810,0.0550,0,1,0,0,1,"Very Low",1.0000
708098133,0,32,F,0,Graduate,Married,"Less than $40K",Blue,19,6,1,0,2834.00,1418.00,1416.00,1.4580,1598.00,39,0.7730,0.5000,0,0,0,0,0,Low,0.0000
708099183,0,37,F,2,"High School",Single,"Less than $40K",Blue,36,4,2,2,5723.00,1873.00,3850.00,0.8510,2732.00,63,0.8530,0.3270,0,0,0,0,0,Low,0.0000
708100533,0,55,F,3,College,Single,"Less than $40K",Blue,36,3,3,3,2679.00,2277.00,402.00,0.7360,4943.00,85,0.7350,0.8500,1,1,0,1,1,High,2.0000
708103608,0,52,M,1,"High School",Single,"$60K - $80K",Blue,45,1,5,1,11898.00,2517.00,9381.00,0.7450,15798.00,128,0.7300,0.2120,0,1,1,1,1,Low,2.0000
708104658,0,46,M,1,Graduate,Unknown,"$40K - $60K",Blue,36,4,3,2,1438.30,890.00,548.30,1.1430,2928.00,48,1.4000,0.6190,0,0,0,1,0,Medium,1.0000
708108333,1,47,F,3,Graduate,Married,Unknown,Blue,36,3,3,1,5590.00,0.00,5590.00,0.0100,1507.00,32,0.0000,0.0000,0,1,0,1,1,NULL,2.0000
